,0
0,0.0030437009991146624
1,0.002298127001267858
2,0.0030018969991942868
3,0.005508065998583334
4,0.009320514000137337
5,0.016484432999277487
6,0.02802961500128731
7,0.04343746299855411
8,0.06432055400000536
9,0.09200306899947464
10,0.1342430949989648
11,0.18000609999944572
12,0.2573215349984821
13,0.3500649340021482
14,0.48555612900236156
15,0.5718999529999564
16,0.6959924089969718
17,0.9096729209995829
18,1.1857367030024761
19,1.4059731879970059
20,1.6664686889998848
21,2.111051544001384
22,2.423842167998373
23,2.796956289999798
24,3.2772969079996983
25,3.77521421700294
26,4.493062001998624
27,4.997061041001871
28,5.573282979999931
29,6.512651050998102
30,7.45048702799977
31,8.352342735001002
32,9.522545992000232
33,11.124713557001087
34,12.04628006799976
35,13.226008371999342
36,14.863562598999124
37,14.497724950997508
38,17.455128280998906
39,17.68767651399685
40,19.023430829998688
41,24.406276281999453
42,26.508971319999546
43,28.823951460999524
44,31.65285697100262
45,34.49544362500092
46,37.57776517300226
47,40.97859938400143
48,43.63940998799808
49,47.679130488002556
50,51.84780638600205
