,0
0,0.004046327900141478
1,0.004269327037036419
2,0.004240137059241533
3,0.0045039840042591095
4,0.005175526719540358
5,0.006750235799700022
6,0.008833582978695631
7,0.012661824934184551
8,0.014703525230288506
9,0.022262273356318474
10,0.025334971025586128
11,0.044693199917674065
12,0.04693364771082997
13,0.06991456681862473
14,0.06364212138578296
15,0.09026703983545303
16,0.11023245472460985
17,0.1283289031125605
18,0.15502581233158708
19,0.19413616694509983
20,0.21054016798734665
21,0.2585782599635422
22,0.27932638861238956
23,0.344105726107955
24,0.37553525902330875
25,0.44342506723478436
26,0.4814528007991612
27,0.5525430268608034
28,0.6448593498207629
29,0.758107568603009
30,0.9509765701368451
31,0.9006348201073706
32,1.1716088321991265
33,1.2107916558161378
34,1.332304187119007
35,1.5974271991290152
36,1.8108516167849302
37,2.0005915127694607
38,2.1156932353042066
39,2.6366086918860674
40,2.6400224999524653
41,3.395314578898251
42,3.719402121845633
43,4.019323400221765
44,4.672027717344463
45,4.503638351801783
46,5.610477129928768
47,6.227908538188785
48,6.157890941947699
49,6.272054112050682
50,8.220973731949925
