,0
0,0.3879031161777675
1,0.41355146700516343
2,0.5347285610623658
3,0.7154090078547597
4,1.0385999768041074
5,1.4010015823878348
6,1.9687518468126655
7,2.7540240921080112
8,3.810946322977543
9,5.2340005319565535
10,6.303972594905645
11,7.93221302703023
12,10.051318869926035
13,12.741712030023336
14,15.059001971967518
15,17.980901947245002
16,21.561839245259762
17,25.505222343839705
18,29.47195910103619
19,35.56296313088387
20,39.57692361297086
21,46.225456189829856
22,53.2160563711077
23,59.37514739437029
24,67.10375896375626
25,74.55725470278412
26,83.77855251729488
27,94.37466280860826
28,102.93261343985796
29,114.67645448306575
30,127.94673293177038
31,139.36499342694879
32,151.10628404887393
33,164.85750946076587
34,183.84397218283266
35,197.7833096361719
36,217.96429073624313
37,239.18358527077362
38,250.36493229819462
39,275.30344673478976
40,297.7503155400045
41,312.1285109310411
42,343.2808321141638
43,367.380192513112
44,385.38173588272184
45,415.732995507773
46,445.2503006812185
47,479.1975697558373
48,499.6578731490299
49,533.4295634510927
50,580.5188368652016
