,0
0,0.026362229000369553
1,0.015515677001531003
2,0.026826328998140525
3,0.007062249998853076
4,0.007851716000004672
5,0.006790928000555141
6,0.010006348002207233
7,0.016116437000164296
8,0.016152011001395294
9,0.023560522000479978
10,0.02917910600081086
11,0.04045439999754308
12,0.05299562599975616
13,0.07142395299888449
14,0.0879324359993916
15,0.11287553500005743
16,0.13741904199923738
17,0.1704860319987347
18,0.2138008539986913
19,0.2492468780001218
20,0.29522000900033163
21,0.36995313800071017
22,0.42362062000029255
23,0.4809545890020672
24,0.5733158830007596
25,0.6480004000004556
26,0.7580988549998438
27,0.8962267560018518
28,0.9674210419980227
29,1.121593417999975
30,1.2458058090014674
31,1.4727747720025945
32,1.5883943749977334
33,1.8775525729979563
34,2.024639052000566
35,2.305719872998452
36,2.436324901998887
37,2.7181294099973456
38,3.12553932299852
39,3.1927525520004565
40,3.781937697000103
41,4.103194068000448
42,4.500782994000474
43,4.945538325999223
44,5.510468945001776
45,6.027895007999177
46,6.2847824269993
47,6.961283197997545
48,7.410230015000707
49,8.184698973000195
50,8.837890457001777
